PWM Percentage ,Voltage ,,PWM  percentage, Encoder Value ,Speed  M/S,,,Without Load 60 percent PWM,,,Without Load 60 PWM,,,Without Load 60 PWM,,,Withload 60 PWM,,,With Load 60 PWM ,,,With Load PWM 60,,,Withload 30 PWM ,,,Withload 30 PWM ,,,Withload 30 PWM ,,,Withload 30 PWM ,,,Withload 30 PWM 
,,,,,,,,20:30:03.265 -> 1682,,,20:35:05.066 -> 1535,,,20:37:01.819 -> 1556,,,20:46:18.084 -> 1463,,,20:55:15.361 -> 1392,,,20:56:13.572 -> 1402,,,20:59:08.130 -> 633,,,21:00:14.585 -> 653,,,21:01:07.644 -> 643,,,21:02:48.017 -> 656,,,21:03:58.242 -> 637
,,,,,,,,20:30:03.265 -> 1694,,,20:35:05.066 -> 1546,,,20:37:01.863 -> 1567,,,20:46:18.084 -> 1474,,,20:55:15.361 -> 1401,,,20:56:13.572 -> 1411,,,20:59:08.130 -> 637,,,21:00:14.585 -> 657,,,21:01:07.644 -> 648,,,21:02:48.017 -> 661,,,21:03:58.242 -> 641
,,,,,,,,20:30:03.265 -> 1704,,,20:35:05.109 -> 1557,,,20:37:01.863 -> 1578,,,20:46:18.125 -> 1484,,,20:55:15.361 -> 1411,,,20:56:13.572 -> 1421,,,20:59:08.130 -> 641,,,21:00:14.585 -> 661,,,21:01:07.644 -> 652,,,21:02:48.017 -> 665,,,21:03:58.289 -> 646
,,,,,,,,20:30:03.309 -> 1715,,,20:35:05.109 -> 1568,,,20:37:01.863 -> 1589,,,20:46:18.125 -> 1495,,,20:55:15.361 -> 1421,,,20:56:13.620 -> 1431,,,20:59:08.130 -> 646,,,21:00:14.585 -> 666,,,21:01:07.644 -> 657,,,21:02:48.017 -> 670,,,21:03:58.289 -> 650
,,,,,,,,20:30:03.309 -> 1726,,,20:35:05.109 -> 1579,,,20:37:01.863 -> 1600,,,20:46:18.125 -> 1505,,,20:55:15.409 -> 1431,,,20:56:13.620 -> 1441,,,20:59:08.174 -> 650,,,21:00:14.585 -> 670,,,21:01:07.692 -> 661,,,21:02:48.066 -> 674,,,21:03:58.289 -> 654
,,,,,,,,20:30:03.309 -> 1736,,,20:35:05.109 -> 1590,,,20:37:01.911 -> 1610,,,20:46:18.125 -> 1515,,,20:55:15.409 -> 1441,,,20:56:13.620 -> 1451,,,20:59:08.174 -> 654,,,21:00:14.619 -> 675,,,21:01:07.692 -> 666,,,21:02:48.066 -> 679,,,21:03:58.289 -> 659
,,,,,,,,20:30:03.309 -> 1747,,,20:35:05.157 -> 1600,,,20:37:01.911 -> 1621,,,20:46:18.173 -> 1526,,,20:55:15.409 -> 1450,,,20:56:13.620 -> 1460,,,20:59:08.174 -> 658,,,21:00:14.619 -> 679,,,21:01:07.692 -> 670,,,21:02:48.066 -> 683,,,21:03:58.289 -> 663
,,,,,,,,20:30:03.309 -> 1758,,,20:35:05.157 -> 1611,,,20:37:01.911 -> 1632,,,20:46:18.173 -> 1536,,,20:55:15.409 -> 1460,,,20:56:13.620 -> 1470,,,20:59:08.174 -> 663,,,21:00:14.619 -> 683,,,21:01:07.692 -> 675,,,21:02:48.066 -> 688,,,21:03:58.335 -> 667
,,,,,,,,20:30:03.353 -> 1768,,,20:35:05.157 -> 1622,,,20:37:01.911 -> 1643,,,20:46:18.173 -> 1547,,,20:55:15.453 -> 1470,,,20:56:13.664 -> 1480,,,20:59:08.174 -> 667,,,21:00:14.652 -> 688,,,21:01:07.692 -> 679,,,21:02:48.066 -> 692,,,21:03:58.335 -> 672
,,,,,,,,20:30:03.353 -> 1779,,,20:35:05.157 -> 1633,,,20:37:01.911 -> 1654,,,20:46:18.173 -> 1557,,,20:55:15.453 -> 1480,,,20:56:13.664 -> 1490,,,20:59:08.222 -> 671,,,21:00:14.652 -> 692,,,21:01:07.736 -> 683,,,21:02:48.114 -> 697,,,21:03:58.335 -> 676
,,,,,,,,20:30:03.353 -> 1789,,,20:35:05.157 -> 1643,,,20:37:01.955 -> 1665,,,20:46:18.173 -> 1568,,,20:55:15.453 -> 1490,,,20:56:13.664 -> 1499,,,20:59:08.222 -> 675,,,21:00:14.652 -> 697,,,21:01:07.736 -> 688,,,21:02:48.114 -> 702,,,21:03:58.335 -> 680
,,,,,,,,20:30:03.353 -> 1800,,,20:35:05.205 -> 1654,,,20:37:01.955 -> 1675,,,20:46:18.217 -> 1578,,,20:55:15.453 -> 1499,,,20:56:13.664 -> 1509,,,20:59:08.222 -> 680,,,21:00:14.696 -> 701,,,21:01:07.736 -> 692,,,21:02:48.114 -> 706,,,21:03:58.381 -> 685
,,,,,,,,20:30:03.397 -> 1812,,,20:35:05.205 -> 1665,,,20:37:01.955 -> 1686,,,20:46:18.217 -> 1589,,,20:55:15.453 -> 1509,,,20:56:13.709 -> 1519,,,20:59:08.222 -> 684,,,21:00:14.696 -> 706,,,21:01:07.736 -> 697,,,21:02:48.114 -> 711,,,21:03:58.381 -> 689
,,,,,,,,20:30:03.397 -> 1822,,,20:35:05.205 -> 1676,,,20:37:01.955 -> 1697,,,20:46:18.217 -> 1599,,,20:55:15.501 -> 1519,,,20:56:13.709 -> 1529,,,20:59:08.267 -> 688,,,21:00:14.696 -> 710,,,21:01:07.784 -> 701,,,21:02:48.154 -> 716,,,21:03:58.381 -> 693
,,,,,,,,20:30:03.397 -> 1833,,,20:35:05.205 -> 1686,,,20:37:01.955 -> 1708,,,20:46:18.217 -> 1610,,,20:55:15.501 -> 1529,,,20:56:13.709 -> 1538,,,20:59:08.267 -> 692,,,21:00:14.696 -> 715,,,21:01:07.784 -> 706,,,21:02:48.154 -> 720,,,21:03:58.381 -> 698
,,,,,,,,20:30:03.397 -> 1844,,,20:35:05.205 -> 1697,,,20:37:02.000 -> 1719,,,20:46:18.217 -> 1620,,,20:55:15.501 -> 1539,,,20:56:13.709 -> 1548,,,20:59:08.267 -> 696,,,21:00:14.696 -> 719,,,21:01:07.784 -> 710,,,21:02:48.154 -> 725,,,21:03:58.381 -> 702
,,,,,,,,20:30:03.397 -> 1854,,,20:35:05.254 -> 1708,,,20:37:02.000 -> 1730,,,20:46:18.265 -> 1631,,,20:55:15.501 -> 1549,,,20:56:13.709 -> 1558,,,20:59:08.267 -> 700,,,21:00:14.744 -> 724,,,21:01:07.784 -> 715,,,21:02:48.154 -> 729,,,21:03:58.425 -> 706
,,,,,,,,20:30:03.445 -> 1865,,,20:35:05.254 -> 1719,,,20:37:02.000 -> 1741,,,20:46:18.265 -> 1641,,,20:55:15.501 -> 1558,,,20:56:13.753 -> 1568,,,20:59:08.267 -> 704,,,21:00:14.744 -> 728,,,21:01:07.784 -> 719,,,21:02:48.154 -> 734,,,21:03:58.425 -> 710
,,,,,,,,20:30:03.445 -> 1877,,,20:35:05.254 -> 1730,,,20:37:02.000 -> 1751,,,20:46:18.265 -> 1652,,,20:55:15.549 -> 1568,,,20:56:13.753 -> 1578,,,20:59:08.315 -> 709,,,21:00:14.744 -> 733,,,21:01:07.833 -> 724,,,21:02:48.203 -> 739,,,21:03:58.425 -> 715
,,,,,,,,20:30:03.445 -> 1888,,,20:35:05.254 -> 1741,,,20:37:02.048 -> 1762,,,20:46:18.265 -> 1662,,,20:55:15.549 -> 1578,,,20:56:13.753 -> 1587,,,20:59:08.315 -> 713,,,21:00:14.744 -> 737,,,21:01:07.833 -> 728,,,21:02:48.203 -> 743,,,21:03:58.425 -> 719
,,,,,,,,20:30:03.445 -> 1899,,,20:35:05.254 -> 1752,,,20:37:02.048 -> 1773,,,20:46:18.309 -> 1672,,,20:55:15.549 -> 1588,,,20:56:13.753 -> 1597,,,20:59:08.315 -> 717,,,21:00:14.744 -> 741,,,21:01:07.833 -> 733,,,21:02:48.203 -> 748,,,21:03:58.470 -> 723
,,,,,,,,20:30:03.445 -> 1909,,,20:35:05.298 -> 1763,,,20:37:02.048 -> 1784,,,20:46:18.309 -> 1683,,,20:55:15.549 -> 1598,,,20:56:13.802 -> 1607,,,20:59:08.315 -> 721,,,21:00:14.788 -> 746,,,21:01:07.833 -> 737,,,21:02:48.203 -> 752,,,21:03:58.470 -> 728
,,,,,,,,20:30:03.488 -> 1920,,,20:35:05.298 -> 1774,,,20:37:02.048 -> 1795,,,20:46:18.309 -> 1693,,,20:55:15.549 -> 1607,,,20:56:13.802 -> 1617,,,20:59:08.315 -> 725,,,21:00:14.788 -> 750,,,21:01:07.833 -> 742,,,21:02:48.203 -> 757,,,21:03:58.470 -> 732
,,,,,,,,20:30:03.488 -> 1931,,,20:35:05.298 -> 1785,,,20:37:02.048 -> 1806,,,20:46:18.309 -> 1704,,,20:55:15.598 -> 1617,,,20:56:13.802 -> 1627,,,20:59:08.363 -> 729,,,21:00:14.788 -> 755,,,21:01:07.877 -> 747,,,21:02:48.251 -> 761,,,21:03:58.470 -> 736
,,,,,,,,20:30:03.488 -> 1941,,,20:35:05.298 -> 1795,,,20:37:02.092 -> 1816,,,20:46:18.309 -> 1715,,,20:55:15.598 -> 1627,,,20:56:13.802 -> 1637,,,20:59:08.363 -> 733,,,21:00:14.788 -> 759,,,21:01:07.877 -> 751,,,21:02:48.251 -> 766,,,21:03:58.470 -> 741
,,,,,,,,20:30:03.488 -> 1952,,,20:35:05.331 -> 1806,,,20:37:02.092 -> 1827,,,20:46:18.353 -> 1725,,,20:55:15.598 -> 1638,,,20:56:13.802 -> 1646,,,20:59:08.363 -> 737,,,21:00:14.837 -> 764,,,21:01:07.877 -> 756,,,21:02:48.251 -> 770,,,21:03:58.514 -> 745
,,,,,,,,20:30:03.533 -> 1963,,,20:35:05.331 -> 1817,,,20:37:02.092 -> 1838,,,20:46:18.353 -> 1735,,,20:55:15.598 -> 1647,,,20:56:13.850 -> 1656,,,20:59:08.363 -> 741,,,21:00:14.837 -> 768,,,21:01:07.877 -> 760,,,21:02:48.251 -> 775,,,21:03:58.514 -> 749
,,,,,,,,20:30:03.533 -> 1973,,,20:35:05.331 -> 1828,,,20:37:02.092 -> 1849,,,20:46:18.353 -> 1746,,,20:55:15.642 -> 1657,,,20:56:13.850 -> 1666,,,20:59:08.363 -> 746,,,21:00:14.837 -> 773,,,21:01:07.877 -> 765,,,21:02:48.299 -> 779,,,21:03:58.514 -> 754
,,,,,,,,20:30:03.533 -> 1984,,,20:35:05.379 -> 1839,,,20:37:02.136 -> 1860,,,20:46:18.353 -> 1756,,,20:55:15.642 -> 1667,,,20:56:13.850 -> 1676,,,20:59:08.411 -> 750,,,21:00:14.837 -> 777,,,21:01:07.925 -> 769,,,21:02:48.299 -> 784,,,21:03:58.514 -> 758
,,,,,,,,20:30:03.533 -> 1995,,,20:35:05.379 -> 1850,,,20:37:02.136 -> 1871,,,20:46:18.397 -> 1767,,,20:55:15.642 -> 1677,,,20:56:13.850 -> 1685,,,20:59:08.411 -> 754,,,21:00:14.837 -> 781,,,21:01:07.925 -> 774,,,21:02:48.299 -> 788,,,21:03:58.558 -> 762
,,,,,,,,20:30:03.577 -> 2005,,,20:35:05.379 -> 1861,,,20:37:02.136 -> 1881,,,20:46:18.397 -> 1778,,,20:55:15.642 -> 1687,,,20:56:13.850 -> 1695,,,20:59:08.411 -> 758,,,21:00:14.885 -> 786,,,21:01:07.925 -> 778,,,21:02:48.299 -> 793,,,21:03:58.558 -> 767
,,,,,,,,20:30:03.577 -> 2016,,,20:35:05.379 -> 1871,,,20:37:02.136 -> 1892,,,20:46:18.397 -> 1789,,,20:55:15.642 -> 1696,,,20:56:13.898 -> 1705,,,20:59:08.411 -> 762,,,21:00:14.885 -> 790,,,21:01:07.925 -> 783,,,21:02:48.299 -> 798,,,21:03:58.558 -> 771
,,,,,,,,20:30:03.577 -> 2027,,,20:35:05.379 -> 1882,,,20:37:02.136 -> 1903,,,20:46:18.397 -> 1799,,,20:55:15.686 -> 1706,,,20:56:13.898 -> 1715,,,20:59:08.411 -> 767,,,21:00:14.885 -> 795,,,21:01:07.973 -> 787,,,21:02:48.347 -> 802,,,21:03:58.558 -> 775
,,,,,,,,20:30:03.577 -> 2037,,,20:35:05.423 -> 1893,,,20:37:02.185 -> 1914,,,20:46:18.397 -> 1810,,,20:55:15.686 -> 1716,,,20:56:13.898 -> 1725,,,20:59:08.455 -> 771,,,21:00:14.885 -> 799,,,21:01:07.973 -> 792,,,21:02:48.347 -> 807,,,21:03:58.558 -> 780
,,,,,,,,20:30:03.577 -> 2048,,,20:35:05.423 -> 1904,,,20:37:02.185 -> 1925,,,20:46:18.441 -> 1820,,,20:55:15.686 -> 1726,,,20:56:13.898 -> 1735,,,20:59:08.455 -> 775,,,21:00:14.885 -> 804,,,21:01:07.973 -> 796,,,21:02:48.347 -> 811,,,21:03:58.606 -> 784
,,,,,,,,20:30:03.624 -> 2059,,,20:35:05.423 -> 1915,,,20:37:02.185 -> 1936,,,20:46:18.441 -> 1830,,,20:55:15.686 -> 1736,,,20:56:13.898 -> 1744,,,20:59:08.455 -> 779,,,21:00:14.930 -> 808,,,21:01:07.973 -> 801,,,21:02:48.347 -> 816,,,21:03:58.606 -> 788
,,,,,,,,20:30:03.624 -> 2069,,,20:35:05.423 -> 1926,,,20:37:02.185 -> 1946,,,20:46:18.441 -> 1841,,,20:55:15.730 -> 1746,,,20:56:13.941 -> 1754,,,20:59:08.455 -> 783,,,21:00:14.930 -> 812,,,21:01:07.973 -> 805,,,21:02:48.347 -> 820,,,21:03:58.606 -> 792
,,,,,,,,20:30:03.624 -> 2080,,,20:35:05.468 -> 1937,,,20:37:02.185 -> 1957,,,20:46:18.441 -> 1851,,,20:55:15.730 -> 1756,,,20:56:13.941 -> 1764,,,20:59:08.500 -> 788,,,21:00:14.930 -> 817,,,21:01:08.017 -> 810,,,21:02:48.396 -> 825,,,21:03:58.606 -> 797
,,,,,,,,20:30:03.624 -> 2091,,,20:35:05.468 -> 1948,,,20:37:02.233 -> 1968,,,20:46:18.482 -> 1862,,,20:55:15.730 -> 1765,,,20:56:13.941 -> 1774,,,20:59:08.500 -> 792,,,21:00:14.930 -> 821,,,21:01:08.017 -> 814,,,21:02:48.396 -> 829,,,21:03:58.655 -> 801
,,,,,,,,20:30:03.624 -> 2101,,,20:35:05.468 -> 1959,,,20:37:02.233 -> 1979,,,20:46:18.482 -> 1872,,,20:55:15.730 -> 1775,,,20:56:13.941 -> 1783,,,20:59:08.500 -> 796,,,21:00:14.978 -> 826,,,21:01:08.017 -> 819,,,21:02:48.396 -> 834,,,21:03:58.655 -> 806
,,,,,,,,20:30:03.672 -> 2112,,,20:35:05.468 -> 1970,,,20:37:02.233 -> 1990,,,20:46:18.482 -> 1883,,,20:55:15.730 -> 1785,,,20:56:13.985 -> 1793,,,20:59:08.500 -> 800,,,21:00:14.978 -> 830,,,21:01:08.017 -> 823,,,21:02:48.396 -> 838,,,21:03:58.655 -> 810
,,,,,,,,20:30:03.672 -> 2123,,,20:35:05.468 -> 1980,,,20:37:02.233 -> 2001,,,20:46:18.482 -> 1893,,,20:55:15.778 -> 1795,,,20:56:13.985 -> 1803,,,20:59:08.544 -> 805,,,21:00:14.978 -> 834,,,21:01:08.017 -> 828,,,21:02:48.396 -> 843,,,21:03:58.655 -> 814
,,,,,,,,20:30:03.672 -> 2133,,,20:35:05.516 -> 1991,,,20:37:02.277 -> 2011,,,20:46:18.526 -> 1904,,,20:55:15.778 -> 1805,,,20:56:13.985 -> 1813,,,20:59:08.544 -> 809,,,21:00:14.978 -> 839,,,21:01:08.061 -> 832,,,21:02:48.440 -> 847,,,21:03:58.655 -> 819
,,,,,,,,20:30:03.672 -> 2144,,,20:35:05.516 -> 2002,,,20:37:02.277 -> 2022,,,20:46:18.526 -> 1914,,,20:55:15.778 -> 1815,,,20:56:13.985 -> 1823,,,20:59:08.544 -> 813,,,21:00:14.978 -> 843,,,21:01:08.061 -> 837,,,21:02:48.440 -> 852,,,21:03:58.708 -> 823
,,,,,,,,20:30:03.720 -> 2154,,,20:35:05.516 -> 2013,,,20:37:02.277 -> 2033,,,20:46:18.526 -> 1925,,,20:55:15.778 -> 1824,,,20:56:13.985 -> 1833,,,20:59:08.544 -> 817,,,21:00:15.027 -> 847,,,21:01:08.061 -> 841,,,21:02:48.440 -> 856,,,21:03:58.708 -> 827
,,,,,,,,20:30:03.720 -> 2165,,,20:35:05.516 -> 2024,,,20:37:02.277 -> 2044,,,20:46:18.526 -> 1935,,,20:55:15.778 -> 1834,,,20:56:14.034 -> 1842,,,20:59:08.544 -> 821,,,21:00:15.027 -> 852,,,21:01:08.061 -> 846,,,21:02:48.440 -> 861,,,21:03:58.708 -> 832
,,,,,,,,20:30:03.720 -> 2176,,,20:35:05.516 -> 2035,,,20:37:02.277 -> 2055,,,20:46:18.526 -> 1946,,,20:55:15.823 -> 1844,,,20:56:14.034 -> 1852,,,20:59:08.592 -> 826,,,21:00:15.027 -> 856,,,21:01:08.110 -> 851,,,21:02:48.440 -> 865,,,21:03:58.708 -> 836
,,,,,,,,20:30:03.720 -> 2186,,,20:35:05.564 -> 2046,,,20:37:02.321 -> 2066,,,20:46:18.574 -> 1956,,,20:55:15.823 -> 1854,,,20:56:14.034 -> 1862,,,20:59:08.592 -> 830,,,21:00:15.027 -> 860,,,21:01:08.110 -> 855,,,21:02:48.488 -> 870,,,21:03:58.708 -> 840
,,,,,,,,20:30:03.720 -> 2197,,,20:35:05.564 -> 2057,,,20:37:02.321 -> 2076,,,20:46:18.574 -> 1967,,,20:55:15.823 -> 1864,,,20:56:14.034 -> 1872,,,20:59:08.592 -> 834,,,21:00:15.027 -> 865,,,21:01:08.110 -> 860,,,21:02:48.488 -> 874,,,21:03:58.708 -> 845
,,,,,,,,20:30:03.769 -> 2208,,,20:35:05.564 -> 2067,,,20:37:02.321 -> 2087,,,20:46:18.574 -> 1977,,,20:55:15.823 -> 1874,,,20:56:14.034 -> 1882,,,20:59:08.592 -> 838,,,21:00:15.071 -> 869,,,21:01:08.110 -> 864,,,21:02:48.488 -> 879,,,21:03:58.756 -> 849
,,,,,,,,20:30:03.769 -> 2218,,,20:35:05.564 -> 2078,,,20:37:02.321 -> 2098,,,20:46:18.574 -> 1988,,,20:55:15.867 -> 1883,,,20:56:14.083 -> 1891,,,20:59:08.592 -> 842,,,21:00:15.071 -> 873,,,21:01:08.110 -> 869,,,21:02:48.488 -> 883,,,21:03:58.756 -> 853
,,,,,,,,20:30:03.769 -> 2229,,,20:35:05.564 -> 2089,,,20:37:02.365 -> 2109,,,20:46:18.574 -> 1998,,,20:55:15.867 -> 1893,,,20:56:14.083 -> 1901,,,20:59:08.640 -> 847,,,21:00:15.071 -> 878,,,21:01:08.154 -> 873,,,21:02:48.533 -> 888,,,21:03:58.756 -> 858
,,,,,,,,20:30:03.769 -> 2240,,,20:35:05.612 -> 2100,,,20:37:02.365 -> 2120,,,20:46:18.623 -> 2008,,,20:55:15.867 -> 1903,,,20:56:14.083 -> 1911,,,20:59:08.640 -> 851,,,21:00:15.071 -> 882,,,21:01:08.154 -> 878,,,21:02:48.533 -> 892,,,21:03:58.756 -> 862
,,,,,,,,20:30:03.769 -> 2250,,,20:35:05.612 -> 2111,,,20:37:02.365 -> 2131,,,20:46:18.623 -> 2019,,,20:55:15.867 -> 1913,,,20:56:14.083 -> 1921,,,20:59:08.640 -> 855,,,21:00:15.119 -> 886,,,21:01:08.154 -> 882,,,21:02:48.533 -> 897,,,21:03:58.804 -> 866
,,,,,,,,20:30:03.813 -> 2261,,,20:35:05.612 -> 2123,,,20:37:02.365 -> 2141,,,20:46:18.623 -> 2029,,,20:55:15.915 -> 1923,,,20:56:14.083 -> 1931,,,20:59:08.640 -> 859,,,21:00:15.119 -> 891,,,21:01:08.154 -> 887,,,21:02:48.533 -> 901,,,21:03:58.804 -> 871
,,,,,,,,20:30:03.813 -> 2272,,,20:35:05.612 -> 2133,,,20:37:02.365 -> 2152,,,20:46:18.623 -> 2041,,,20:55:15.915 -> 1932,,,20:56:14.131 -> 1940,,,20:59:08.688 -> 863,,,21:00:15.119 -> 895,,,21:01:08.199 -> 891,,,21:02:48.533 -> 906,,,21:03:58.804 -> 875
,,,,,,,,20:30:03.813 -> 2282,,,20:35:05.657 -> 2144,,,20:37:02.410 -> 2163,,,20:46:18.672 -> 2051,,,20:55:15.915 -> 1942,,,20:56:14.131 -> 1950,,,20:59:08.688 -> 867,,,21:00:15.119 -> 900,,,21:01:08.199 -> 896,,,21:02:48.582 -> 910,,,21:03:58.804 -> 879
,,,,,,,,20:30:03.813 -> 2293,,,20:35:05.657 -> 2155,,,20:37:02.410 -> 2174,,,20:46:18.672 -> 2061,,,20:55:15.915 -> 1952,,,20:56:14.131 -> 1960,,,20:59:08.688 -> 872,,,21:00:15.119 -> 904,,,21:01:08.199 -> 900,,,21:02:48.582 -> 915,,,21:03:58.804 -> 883
,,,,,,,,20:30:03.860 -> 2304,,,20:35:05.657 -> 2166,,,20:37:02.410 -> 2185,,,20:46:18.672 -> 2072,,,20:55:15.915 -> 1962,,,20:56:14.131 -> 1970,,,20:59:08.688 -> 876,,,21:00:15.167 -> 908,,,21:01:08.199 -> 905,,,21:02:48.582 -> 919,,,21:03:58.852 -> 888
,,,,,,,,20:30:03.860 -> 2314,,,20:35:05.657 -> 2177,,,20:37:02.410 -> 2196,,,20:46:18.672 -> 2082,,,20:55:15.963 -> 1971,,,20:56:14.175 -> 1980,,,20:59:08.688 -> 880,,,21:00:15.167 -> 913,,,21:01:08.199 -> 909,,,21:02:48.582 -> 924,,,21:03:58.852 -> 892
,,,,,,,,20:30:03.860 -> 2325,,,20:35:05.657 -> 2187,,,20:37:02.454 -> 2206,,,20:46:18.672 -> 2093,,,20:55:15.963 -> 1981,,,20:56:14.175 -> 1989,,,20:59:08.732 -> 884,,,21:00:15.167 -> 917,,,21:01:08.248 -> 914,,,21:02:48.630 -> 928,,,21:03:58.852 -> 896
,,,,,,,,20:30:03.860 -> 2336,,,20:35:05.705 -> 2198,,,20:37:02.454 -> 2217,,,20:46:18.716 -> 2103,,,20:55:15.963 -> 1991,,,20:56:14.175 -> 1999,,,20:59:08.732 -> 888,,,21:00:15.167 -> 921,,,21:01:08.248 -> 918,,,21:02:48.630 -> 933,,,21:03:58.852 -> 901
,,,,,,,,20:30:03.860 -> 2346,,,20:35:05.705 -> 2209,,,20:37:02.454 -> 2228,,,20:46:18.716 -> 2114,,,20:55:15.963 -> 2001,,,20:56:14.175 -> 2009,,,20:59:08.732 -> 893,,,21:00:15.167 -> 926,,,21:01:08.248 -> 923,,,21:02:48.630 -> 937,,,21:03:58.852 -> 905
,,,,,,,,20:30:03.908 -> 2357,,,20:35:05.705 -> 2220,,,20:37:02.454 -> 2239,,,20:46:18.716 -> 2124,,,20:55:15.963 -> 2011,,,20:56:14.175 -> 2019,,,20:59:08.732 -> 897,,,21:00:15.215 -> 930,,,21:01:08.248 -> 928,,,21:02:48.630 -> 942,,,21:03:58.896 -> 909
,,,,,,,,20:30:03.908 -> 2368,,,20:35:05.705 -> 2231,,,20:37:02.454 -> 2250,,,20:46:18.716 -> 2134,,,20:55:16.007 -> 2021,,,20:56:14.223 -> 2029,,,20:59:08.732 -> 901,,,21:00:15.215 -> 935,,,21:01:08.248 -> 932,,,21:02:48.630 -> 946,,,21:03:58.896 -> 914
,,,,,,,,20:30:03.908 -> 2378,,,20:35:05.705 -> 2241,,,20:37:02.499 -> 2261,,,20:46:18.716 -> 2145,,,20:55:16.007 -> 2030,,,20:56:14.223 -> 2038,,,20:59:08.780 -> 905,,,21:00:15.215 -> 939,,,21:01:08.296 -> 937,,,21:02:48.630 -> 951,,,21:03:58.896 -> 918
,,,,,,,,20:30:03.908 -> 2389,,,20:35:05.750 -> 2253,,,20:37:02.499 -> 2272,,,20:46:18.764 -> 2155,,,20:55:16.007 -> 2040,,,20:56:14.223 -> 2048,,,20:59:08.780 -> 910,,,21:00:15.215 -> 943,,,21:01:08.296 -> 941,,,21:02:48.674 -> 955,,,21:03:58.896 -> 923
,,,,,,,,20:30:03.908 -> 2400,,,20:35:05.750 -> 2264,,,20:37:02.499 -> 2282,,,20:46:18.764 -> 2166,,,20:55:16.007 -> 2050,,,20:56:14.223 -> 2058,,,20:59:08.780 -> 914,,,21:00:15.215 -> 948,,,21:01:08.296 -> 946,,,21:02:48.674 -> 960,,,21:03:58.940 -> 927
,,,,,,,,20:30:03.958 -> 2410,,,20:35:05.750 -> 2275,,,20:37:02.499 -> 2293,,,20:46:18.764 -> 2176,,,20:55:16.007 -> 2060,,,20:56:14.223 -> 2068,,,20:59:08.780 -> 918,,,21:00:15.260 -> 952,,,21:01:08.296 -> 950,,,21:02:48.674 -> 964,,,21:03:58.940 -> 931
,,,,,,,,20:30:03.958 -> 2422,,,20:35:05.750 -> 2285,,,20:37:02.548 -> 2304,,,20:46:18.764 -> 2186,,,20:55:16.055 -> 2070,,,20:56:14.271 -> 2078,,,20:59:08.780 -> 922,,,21:00:15.260 -> 957,,,21:01:08.296 -> 955,,,21:02:48.674 -> 969,,,21:03:58.940 -> 936
,,,,,,,,20:30:03.958 -> 2433,,,20:35:05.799 -> 2296,,,20:37:02.548 -> 2315,,,20:46:18.764 -> 2196,,,20:55:16.055 -> 2079,,,20:56:14.271 -> 2088,,,20:59:08.824 -> 926,,,21:00:15.260 -> 961,,,21:01:08.344 -> 959,,,21:02:48.722 -> 973,,,21:03:58.940 -> 940
,,,,,,,,20:30:03.958 -> 2443,,,20:35:05.799 -> 2307,,,20:37:02.548 -> 2326,,,20:46:18.812 -> 2207,,,20:55:16.055 -> 2089,,,20:56:14.271 -> 2097,,,20:59:08.824 -> 930,,,21:00:15.260 -> 966,,,21:01:08.344 -> 964,,,21:02:48.722 -> 978,,,21:03:58.940 -> 944
,,,,,,,,20:30:03.958 -> 2454,,,20:35:05.799 -> 2318,,,20:37:02.548 -> 2337,,,20:46:18.812 -> 2217,,,20:55:16.055 -> 2099,,,20:56:14.271 -> 2107,,,20:59:08.824 -> 935,,,21:00:15.260 -> 970,,,21:01:08.344 -> 968,,,21:02:48.722 -> 982,,,21:03:58.989 -> 949
,,,,,,,,20:30:04.002 -> 2464,,,20:35:05.799 -> 2328,,,20:37:02.548 -> 2348,,,20:46:18.812 -> 2228,,,20:55:16.103 -> 2109,,,20:56:14.315 -> 2117,,,20:59:08.824 -> 939,,,21:00:15.305 -> 974,,,21:01:08.344 -> 973,,,21:02:48.722 -> 987,,,21:03:58.989 -> 953
,,,,,,,,20:30:04.002 -> 2475,,,20:35:05.799 -> 2339,,,20:37:02.592 -> 2359,,,20:46:18.812 -> 2238,,,20:55:16.103 -> 2119,,,20:56:14.315 -> 2127,,,20:59:08.868 -> 943,,,21:00:15.305 -> 979,,,21:01:08.344 -> 977,,,21:02:48.722 -> 992,,,21:03:58.989 -> 957
,,,,,,,,20:30:04.002 -> 2486,,,20:35:05.847 -> 2350,,,20:37:02.592 -> 2369,,,20:46:18.856 -> 2248,,,20:55:16.103 -> 2128,,,20:56:14.315 -> 2136,,,20:59:08.868 -> 947,,,21:00:15.305 -> 983,,,21:01:08.392 -> 982,,,21:02:48.771 -> 996,,,21:03:58.989 -> 961
,,,,,,,,20:30:04.002 -> 2496,,,20:35:05.847 -> 2361,,,20:37:02.592 -> 2380,,,20:46:18.856 -> 2259,,,20:55:16.103 -> 2138,,,20:56:14.315 -> 2146,,,20:59:08.868 -> 951,,,21:00:15.305 -> 987,,,21:01:08.392 -> 986,,,21:02:48.771 -> 1001,,,21:03:58.989 -> 966
,,,,,,,,20:30:04.002 -> 2507,,,20:35:05.847 -> 2371,,,20:37:02.592 -> 2391,,,20:46:18.856 -> 2269,,,20:55:16.103 -> 2148,,,20:56:14.315 -> 2156,,,20:59:08.868 -> 955,,,21:00:15.349 -> 992,,,21:01:08.392 -> 991,,,21:02:48.771 -> 1005,,,21:03:59.041 -> 970
