PWM Percentage ,Voltage ,,PWM  percentage, Encoder Value ,Speed  M/S,,,Without Load 60 percent PWM,,,Without Load 60 PWM,,,Without Load 60 PWM,,,Withload 60 PWM,,,With Load 60 PWM ,,,With Load PWM 60,,,Withload 30 PWM ,,,Withload 30 PWM ,,,Withload 30 PWM ,,,Withload 30 PWM ,,,Withload 30 PWM 
52,3.31,,74,1249,0.762,,,20:30:02.356 -> 225,,,20:35:03.851 -> 220,,,20:37:00.628 -> 220,,,20:46:16.845 -> 180,,,20:55:14.139 -> 184,,,20:56:12.353 -> 185,,,20:59:06.880 -> 90,,,21:00:13.354 -> 95,,,21:01:06.398 -> 86,,,21:02:46.779 -> 89,,,21:03:57.029 -> 85
54,3.42,,73,1198,0.731,,,20:30:02.356 -> 236,,,20:35:03.851 -> 231,,,20:37:00.628 -> 230,,,20:46:16.893 -> 189,,,20:55:14.139 -> 194,,,20:56:12.353 -> 194,,,20:59:06.924 -> 94,,,21:00:13.354 -> 100,,,21:01:06.398 -> 91,,,21:02:46.779 -> 93,,,21:03:57.029 -> 90
56,3.56,,72,1178,0.719,,,20:30:02.356 -> 247,,,20:35:03.895 -> 241,,,20:37:00.628 -> 241,,,20:46:16.893 -> 199,,,20:55:14.139 -> 203,,,20:56:12.353 -> 204,,,20:59:06.924 -> 99,,,21:00:13.354 -> 104,,,21:01:06.446 -> 95,,,21:02:46.823 -> 98,,,21:03:57.029 -> 94
58,3.68,,71,1172,0.715,,,20:30:02.356 -> 258,,,20:35:03.895 -> 252,,,20:37:00.628 -> 252,,,20:46:16.893 -> 209,,,20:55:14.139 -> 213,,,20:56:12.353 -> 213,,,20:59:06.924 -> 103,,,21:00:13.354 -> 109,,,21:01:06.446 -> 100,,,21:02:46.823 -> 102,,,21:03:57.076 -> 99
60,3.82,,70,1164,0.71,,,20:30:02.356 -> 268,,,20:35:03.895 -> 263,,,20:37:00.677 -> 262,,,20:46:16.893 -> 219,,,20:55:14.187 -> 222,,,20:56:12.401 -> 222,,,20:59:06.924 -> 107,,,21:00:13.402 -> 114,,,21:01:06.446 -> 104,,,21:02:46.823 -> 107,,,21:03:57.076 -> 104
62,3.99,,69,1145,0.698,,,20:30:02.356 -> 280,,,20:35:03.895 -> 273,,,20:37:00.677 -> 273,,,20:46:16.893 -> 229,,,20:55:14.187 -> 232,,,20:56:12.401 -> 233,,,20:59:06.924 -> 112,,,21:00:13.402 -> 118,,,21:01:06.446 -> 109,,,21:02:46.823 -> 112,,,21:03:57.076 -> 108
64,4.15,,68,1121,0.684,,,20:30:02.356 -> 290,,,20:35:03.895 -> 284,,,20:37:00.677 -> 284,,,20:46:16.942 -> 239,,,20:55:14.187 -> 241,,,20:56:12.401 -> 242,,,20:59:06.972 -> 116,,,21:00:13.402 -> 123,,,21:01:06.446 -> 113,,,21:02:46.823 -> 116,,,21:03:57.076 -> 113
66,4.27,,67,1098,0.67,,,20:30:02.356 -> 302,,,20:35:03.935 -> 295,,,20:37:00.677 -> 295,,,20:46:16.942 -> 249,,,20:55:14.187 -> 251,,,20:56:12.401 -> 252,,,20:59:06.972 -> 121,,,21:00:13.402 -> 127,,,21:01:06.494 -> 118,,,21:02:46.869 -> 121,,,21:03:57.076 -> 117
68,4.43,,66,1078,0.658,,,20:30:02.356 -> 312,,,20:35:03.935 -> 305,,,20:37:00.677 -> 306,,,20:46:16.942 -> 259,,,20:55:14.187 -> 260,,,20:56:12.445 -> 261,,,20:59:06.972 -> 125,,,21:00:13.402 -> 132,,,21:01:06.494 -> 122,,,21:02:46.869 -> 126,,,21:03:57.121 -> 122
70,4.57,,65,1057,0.645,,,20:30:02.356 -> 323,,,20:35:03.935 -> 317,,,20:37:00.725 -> 316,,,20:46:16.942 -> 269,,,20:55:14.232 -> 270,,,20:56:12.445 -> 271,,,20:59:06.972 -> 130,,,21:00:13.447 -> 137,,,21:01:06.494 -> 126,,,21:02:46.869 -> 130,,,21:03:57.121 -> 126
72,4.75,,64,1034,0.631,,,20:30:02.356 -> 334,,,20:35:03.935 -> 328,,,20:37:00.725 -> 327,,,20:46:16.986 -> 279,,,20:55:14.232 -> 279,,,20:56:12.445 -> 281,,,20:59:06.972 -> 134,,,21:00:13.447 -> 141,,,21:01:06.494 -> 131,,,21:02:46.869 -> 135,,,21:03:57.121 -> 131
74,4.9,,63,1015,0.619,,,20:30:02.356 -> 345,,,20:35:03.983 -> 338,,,20:37:00.725 -> 338,,,20:46:16.986 -> 289,,,20:55:14.232 -> 289,,,20:56:12.445 -> 290,,,20:59:07.020 -> 138,,,21:00:13.447 -> 146,,,21:01:06.538 -> 135,,,21:02:46.914 -> 140,,,21:03:57.121 -> 135
